,name,youtube_code,namu_code,혐오,행복,중립,슬픔,분노,놀람,공포
72,GreatMoonAroma 대월향,/channel/UCWL_9MaaMy8ObTDPmVHemjA,대월향,82,179,284,18,34,197,63
73,LCK,/channel/UCw1DsweY9b2AKGjV4kGJP1A,League of Legends Champions Korea,81,196,207,28,20,161,41
74,신비아파트 공식채널 - The Haunted House,/channel/UCoHsxU1eDWHom6D7Fce6kLA,신비아파트 시리즈,39,313,166,101,18,92,40
75,김성회의 G식백과,/channel/UCZ0bi2aVJngKLwFTU5g_fLQ,김성회(방송인),86,220,164,24,22,166,54
76,꿀탱탱,/channel/UCAJAJ9bAvfjFLRrsqeumJIA,꿀탱탱,109,284,154,27,43,138,59
77,밍모,/channel/UCgjaQlejpAnIu0q-xtVfTEw,밍모,41,339,164,57,13,144,53
78,Clevr TV [클레버티비],/channel/UCnMBn-PNx1M9TLF0s-sEDeQ,클레버 TV,19,525,48,81,3,67,27
79,프레이 TV,/channel/UCSzHok6X5qXEO7cjvVnE62g,김종인(프로게이머),99,241,191,39,56,189,60
80,똘킹,/channel/UCnQRkIhRmXrxGrK4-8n-lVw,똘킹,32,99,49,5,7,49,21
81,JUNE,/channel/UCL_IvtOZo6sONpiydbzzHpA,JUNE,26,51,63,9,6,47,18
82,진호,/channel/UCXZaTqDKXHmNfKZ1ywhxe0w,진호(인터넷 방송인),20,78,46,18,6,56,22
83,OGN,/channel/UCKDkGnyeib7mcU7LdD3x0jQ,OGN,0,0,0,0,0,0,0
84,글자네 YouTube,/channel/UCb5NLtXAsTBrmaZVhyFa-Wg,세글자,29,57,37,5,8,36,14
85,백크 Baekk,/channel/UCugNO83_V7xZLzCsjpABGeg,백크,16,58,28,4,2,30,5
86,비누TV,/channel/UCbLispC1ydHSC_69kjZI6hw,비누TV,21,83,45,6,7,47,13
87,주키니TV,/channel/UCZ-UuK86Bk5sGzQQ2cEglJQ,주키니,31,94,42,8,2,33,13
88,빅헤드,/channel/UCAJ-meoCh1TrPZ7La3UpPrw,빅헤드,20,117,56,12,6,51,17
89,자몽티비,/channel/UCHsNxA14lzqnrm0mW7GQIXA,자몽티비,14,59,25,3,3,24,5
90,김희철 KimHeeChul,/channel/UCldBBBC3KowWN7ScJRQlZyg,희철,0,0,0,0,0,0,0
91,쵸쵸우,/channel/UCzoP3s16B9hP7f_qIc6DReQ,쵸쵸우,7,98,20,29,1,33,13
92,두치와뿌꾸,/channel/UCl402YYy7RcH7PBI3npmGPQ,두치와뿌꾸(인터넷 방송인),19,106,39,7,0,30,15
93,각별,/channel/UCDrAR1OWC2MD4s0JLetN0MA,각별,36,72,65,19,7,66,28
94,Game Land,/channel/UCdkCeGJ9G9Y5N0SReSPo5Tw,쥬니어네이버,0,0,0,0,0,0,0
95,루태TV,/channel/UCzPLwuw2vJgxtEQk2nM4TVg,루태,23,75,57,8,6,57,21
96,방앗간 비둘기,/channel/UC1MO5uem_t8lRgvIBF9u83w,방앗간 비둘기,33,64,66,13,9,37,20
97,롤큐 LOLQ,/channel/UCa-IaOPw5r1oQ4vuf3QjEPA,롤큐,13,53,49,11,8,30,9
98,Today on the Korean Server,/channel/UC65ZDJCYI1dwzj48XIeuOBA,서버,4,1,30,0,1,20,4
99,견자희 스튜디오,/channel/UCBvkQFBskQR9NeOoDYR8ckA,견자희,12,60,44,13,2,33,17
100,이석현,/channel/UCVZI7eLie2UlZph6aiBRNrw,이석현,61,252,128,52,20,138,40
101,마플 마인크래프트 채널,/channel/UC1q4Ihlv_YhLELw-ijE0Diw,마인애플,62,182,179,38,11,138,107
102,썩쏘TV,/channel/UCp77saYy1V_F3dld7GfJrcg,썩쏘(유튜버),128,259,205,41,44,89,44
103,이설 Leeseol,/channel/UCHqvLC2ilL2M4_SpoFiWtuQ,이설(인터넷 방송인),41,292,88,48,15,101,36
104,3D운전교실,/channel/UClsIn5fbUo2pSJN_3lhnDag,3D운전교실,8,132,196,20,5,40,37
105,휴지,/channel/UCj1dw4G9v09OLXIxiL_VUEA,휴지,28,167,112,51,15,105,38
106,탬탬버린,/channel/UCCA8UWUW80iHqK9ymdjRwPg,탬탬버린,46,143,101,20,10,115,59
